date,coin,open,high,low,close,volume,tweet_count,avg_score,pct_positive,pct_negative,pct_neutral,sentiment_gap,vader_mean,vader_std,vader_pos_mean,vader_neg_mean,sentiment_7d_avg,sentiment_7d_std,sentiment_momentum,volume_7d_avg,price_return,price_7d_volatility,price_7d_momentum
2020-03-12,BTC,7913.6162109375,7929.1162109375,4860.35400390625,4970.7880859375,53980357243,0,,,,,True,,,,,3.0,0.0,,0.0,-0.37169538560117077,0.13600777856740187,-0.45248176951425423
2020-03-13,BTC,5017.8310546875,5838.11474609375,4106.98095703125,5563.70703125,74156772075,1,1.0,0.0,1.0,0.0,False,-0.4404,0.0,0.027,0.075,2.3333333333333335,1.1547005383792517,,0.14285714285714285,0.11928067241286833,0.15265369060078243,-0.39011465733453354
2020-03-14,BTC,5573.07763671875,5625.2265625,5125.0693359375,5200.3662109375,36154506008,0,1.0,0.0,1.0,0.0,True,,,,,1.6666666666666667,1.154700538379254,0.0,0.14285714285714285,-0.06530552710121185,0.1519914386602173,-0.4163419753166254
2020-03-15,BTC,5201.06689453125,5836.64501953125,5169.283203125,5392.31494140625,33997889639,0,1.0,0.0,1.0,0.0,True,,,,,1.0,0.0,0.0,0.14285714285714285,0.036910617960911996,0.15558229762304887,-0.3349484885117644
2020-03-16,BTC,5385.2294921875,5385.2294921875,4575.35791015625,5014.47998046875,45368026430,0,1.0,0.0,1.0,0.0,True,,,,,1.0,0.0,0.0,0.14285714285714285,-0.07006915676163483,0.15555413507197305,-0.36714980578795764
2020-03-17,BTC,5002.578125,5371.3486328125,4981.9091796875,5225.62939453125,38622642935,0,,,,,True,,,,,1.0,0.0,,0.14285714285714285,0.04210793838741411,0.15868963335970004,-0.3393415792926112
2020-03-18,BTC,5227.11376953125,5331.833984375,5069.3359375,5238.4384765625,37878801016,1,2.0,0.0,0.0,1.0,False,0.7842,0.0,0.168,0.0,1.2,0.4472135954999627,,0.2857142857142857,0.0024512036855608432,0.1587958785406367,-0.33786453774203895
2020-03-19,BTC,5245.41650390625,6329.73583984375,5236.96875,6191.19287109375,51000731797,0,2.0,0.0,0.0,1.0,True,,,,,1.3333333333333333,0.5163977794943252,0.0,0.2857142857142857,0.18187755736638023,0.09209582610833703,0.24551535170224015
2020-03-20,BTC,6191.65380859375,6844.26171875,5865.78173828125,6198.7783203125,54442976103,1,2.0,0.0,0.0,1.0,False,-0.4574,0.0,0.0,0.064,1.5,0.5477225575051684,0.0,0.2857142857142857,0.001225199953657663,0.08466831687833384,0.11414535048223384
2020-03-21,BTC,6206.521484375,6378.13525390625,5932.8232421875,6185.06640625,42494390880,0,2.0,0.0,0.0,1.0,True,,,,,1.6666666666666667,0.5163977794943241,0.0,0.2857142857142857,-0.00221203491300348,0.07730322144663175,0.18935208702061446
2020-03-22,BTC,6185.55810546875,6359.697265625,5823.7138671875,5830.2548828125,40099664740,1,2.0,0.0,0.0,1.0,False,-0.4588,0.0,0.034,0.096,1.8333333333333333,0.4082482904638647,0.0,0.42857142857142855,-0.05736583896317804,0.08335969930987588,0.0812155718211891
2020-03-23,BTC,5831.37451171875,6443.9345703125,5785.00439453125,6416.31494140625,46491916000,0,2.0,0.0,0.0,1.0,True,,,,,2.0,0.0,0.0,0.42857142857142855,0.10052048673231173,0.07953324534898855,0.27955739506341737
2020-03-24,BTC,6436.642578125,6789.02294921875,6411.06640625,6734.8037109375,48221910672,1,2.0,0.0,0.0,1.0,False,0.8822,0.0,0.196,0.0,2.0,0.0,0.0,0.5714285714285714,0.04963733427047878,0.07964302991490357,0.2888024011013177
